	impact	impact_unit	stressor	factor
257923	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Leather coating - air	11.40074339
257924	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Manufacture of automobiles - air	11.40074339
257925	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Mutton and lamb - air	11.40074339
257926	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Oil refinery - air	11.40074339
257927	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Organic chemical industry - downstream units - air	11.40074339
257928	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Organic chemical industry, storage - air	11.40074339
257929	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Other industrial use of solvents - air	11.40074339
257930	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Pharmaceutical industry - air	11.40074339
257931	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Polystyrene processing - air	11.40074339
257932	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air	11.40074339
257933	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Pork - air	11.40074339
257934	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Poultry, dressed - air	11.40074339
257935	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Printing, offset - air	11.40074339
257936	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Products incorporating solvents - air	11.40074339
257937	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Raw sugar - air	11.40074339
257938	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Rotogravure in publication - air	11.40074339
257939	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Screen printing - air	11.40074339
257940	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air	11.40074339
257941	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Synthetic rubber - air	11.40074339
257942	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Tyre production - air	11.40074339
257943	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Vehicle refinishing - air	11.40074339
257944	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NMVOC - non combustion - Wire coating - air	11.40074339
257945	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Agglomeration plant - pellets - air	1.2
257946	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Agglomeration plant - sinter - air	1.2
257947	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Bricks production - air	1.2
257948	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Cement production - air	1.2
257949	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Chemical wood pulp, dissolving grades - air	1.2
257950	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	1.2
257951	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	1.2
257952	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Glass production - air	1.2
257953	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Lime production - air	1.2
257954	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Nickel, unwrought - air	1.2
257955	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Oil refinery - air	1.2
257956	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Pig iron production, blast furnace - air	1.2
257957	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Production of coke oven coke - air	1.2
257958	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Production of gascoke - air	1.2
257959	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Refined copper; unwrought, not alloyed - air	1.2
257960	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Refined lead, unwrought - air	1.2
257961	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	1.2
257962	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Steel production: basic oxygen furnace - air	1.2
257963	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Steel production: electric arc furnace - air	1.2
257964	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Sulphuric acid production - air	1.2
257965	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	1.2
257966	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	NOx - non combustion - Zinc, unwrought, not alloyed - air	1.2
257967	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - pellets - air	35032.83874
257968	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - sinter - air	35032.83874
257969	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Glass production - air	35032.83874
257970	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of coke oven coke - air	35032.83874
257971	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of gascoke - air	35032.83874
257972	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: basic oxygen furnace - air	35032.83874
257973	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: electric arc furnace - air	35032.83874
257974	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: open hearth furnace - air	35032.83874
257975	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Agglomeration plant - pellets - air	199567.4997
257976	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Agglomeration plant - sinter - air	199567.4997
257977	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Pig iron production, blast furnace - air	199567.4997
257978	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Production of coke oven coke - air	199567.4997
257979	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Production of gascoke - air	199567.4997
257980	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Steel production: basic oxygen furnace - air	199567.4997
257981	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PAH - non combustion - Steel production: electric arc furnace - air	199567.4997
257987	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - pellets - air	1933982792.0
257988	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - sinter - air	1933982792.0
257989	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Pig iron production, blast furnace - air	1933982792.0
257990	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Secondary aluminium production - air	1933982792.0
257991	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: basic oxygen furnace - air	1933982792.0
257992	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: electric arc furnace - air	1933982792.0
257993	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Agglomeration plant - pellets - air	0.82
257994	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Agglomeration plant - sinter - air	0.82
257995	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air	0.82
257996	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Bricks production - air	0.82
257997	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Briquettes production - air	0.82
257998	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Carbon black production - air	0.82
257999	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Cast iron production (grey iron foundries) - air	0.82
258000	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Cement production - air	0.82
258001	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Chemical wood pulp, dissolving grades - air	0.82
258002	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	0.82
258003	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	0.82
258004	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Chromium ores and concentrates - air	0.82
258005	human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PM10 - non combustion - Copper ores and concentrates - air	0.82
